Index|Главная|учебные материалы, лекции, конспекты, мехмат, мгу, ботва, учеба, образование|Учебные материалы для студентов мехмата МГУ. Лекции, конспекты, задачи, книги, программы. Математика, программирование, физика. Главная страница
Search|Поиск|учебные материалы, лекции, конспекты, мехмат, мгу, поиск, ботва, учеба, образование|Учебные материалы для студентов. Поиск документов по сайту
About|О проекте|учебные материалы, лекции, конспекты, о проекте, мехмат, мгу, ботва, учеба, образование, контакты|Здесь собрана вся информация о сайте и его разработчиках, в том числе их локальные координаты
Forum|Форум|учебные материалы, форум, обсуждения, новости, лекции, конспект, мехмат, мгу, ботва, учеба, образование|Гостевая книга и форум сайта. Мы будем вывешивать сюда сообщения об обновлениях, а вы, уважаемые пользователи, пишите сюда свои комментарии, замечания, предложения, задавайте вопросы...
CPL|Control Panel|учебные материалы, лекции, конспекты, мехмат, мгу, ботва, учеба, образование, панель управления, админка|Уголок администратора сайта. Простым смертным без пароля здесь делать нечего
Algebra|Алгебра|учебные материалы, лекции, алгебра, линейная алгебра, конспекты, мехмат, мгу, учеба|Алгебра и линейная алгебра для студентов младших курсов, а также спецкурсы
Calculus|Математический анализ|учебные материалы, лекции, анализ, матан, конспект, мехмат, мгу, производная, учеба|Лекции по математическому анализу для студентов мехмата, спецкурсы
RCalculus|Действительный анализ|учебные материалы, лекции, теория меры, интеграл лебега, функция, конспект, мехмат, мгу|Действительный анализ, теория меры
CCalculus|Комплексный анализ (ТФКП)|учебные материалы, лекции, тфкп, комплан, теорема коши, голоморфная функция, интеграл, комплексный анализ, конспекты, мехмат, мгу|Комплексный анализ, теория функций комплексного переменного (ТФКП)
FCalculus|Функциональный анализ|учебные материалы, лекции, функан, оператор, спектр, функциональный анализ, конспекты, мехмат, мгу, колмогоров, фомин|Функциональный анализ и спецкурсы
Geometry|Геометрия и топология||учебные материалы, лекции, геометрия, топология, дифференциальная геометрия, многообразие, конспекты, мехмат, мгу, фоменко|Аналитическая геометрия, дифференциальная геометрия и топология, спецкурсы
Logic|Логика, дискретная математика|учебные материалы, лекции, логика, дискретная математика, конечный автомат, конспекты, мехмат, мгу, верещагин, успенский|Математическая логика и дискретная математика, лекции
Mechanics|Механика|учебные материалы, лекции, механика, твердое тело, кинематика, динамика, конспекты, мехмат, мгу, карапетян|Классическая механика, аналитическая механика, теоретическая механика
DE|Дифференциальные уравнения (ОДУ) и уравнения в частных производных (УрЧП)|учебные материалы, лекции, дифференциальные уравнения, теорема единственности, частная производная, конспекты, мехмат, мгу|Обыкновенные дифференциальные уравнения (ОДУ) и уравнения в частных производных (УрЧП)
VarCalculus|Вариационное исчисление и оптимальное управление (ОПУ)|учебные материалы, лекции, вариационное исчисление, оптимальное управление, опу, лагранжиан, экстремум, максимум, минимум, конспекты, мехмат, мгу|Вариационное исчисление и оптимальное управление (ОПУ), оптимизация. Уравнения Лагранжа, максимумы и минимумы, экстремумы
PTMS|Теория вероятностей и математическая статистика|учебные материалы, лекции, вероятность, статистика, случайная величина, распределение, актуарная математика, риски, страхование, колмогоров|Теория вероятностей, математическая статистика и случайные процессы, лекции по актуарной математике
NT|Теория чисел|учебные материалы, лекции, дирихле, простые числа, дзета-функция, гипотеза римана, теорема абеля|Лекции по теории чисел, закон распределения простых чисел, теорема абеля, теорема дирихле
Physics|Физика для математиков|учебные материалы, лекции, физика, электричество, уравнения максвелла, теория относительности, квантовая механика, конспекты, мехмат, мгу|Теоретическая физика для математиков - электричество, уравнения Максвелла, теория относительности, квантовая механика
Prog|Численные методы и программирование|учебные материалы, лекции, матрицы, метод гаусса, разностная схема, методы вычислений, алгоритм, параллельные вычисления, c++, конспекты, мехмат, мгу|Вычислительная математика, численные методы и программирование. Алгоритмы и структуры данных. Программирование TCP/IP (client-server)
Metacourse|Курсы естественно-научного содержания (ЕНС)|учебные материалы, лекции, енс, курс естественно-научного содержания, мехмат, мгу, спецкурс, факультатив|Курсы естественно-научного содержания (ЕНС), специальные курсы для математиков, спецкурсы на мехмате
Misc|Нематематика|учебные материалы, история, защита населения, безопасность жизнедеятельности, экономика, история, философия, английский язык, english, мехмат, мгу, нематематические дисциплины|Нематематические дисциплины МехМата: защита населения, экономика, история, английский язык, история математики, философия
TeX|TeX и MetaPost|tex, latex, knuth, metapost, стилевой пакет, dmvn, вёрстка, словарь, winedt|Страничка, посвящённая издательской деятельности, нашим разработкам в области TeX'а и MetaPost'а
Books|Книги|учебные материалы, книги, djvu, ebooks|Небольшая коллекция электронных книг
Links|Ссылки|учебные материалы, ссылки, полезные сайты, друзья, каталог, мехмат, мгу, учеба|Ссылки на другие полезные сайты. Если Вы думаете, что ссылка на Ваш (или не Ваш!) сайт должна быть тут, напишите об этом нам
Wanted|Wanted|учебные материалы, то чего нет, разыскивается, wanted, лекции, мгу, мехмат, учеба|Материалы, которые хочется добыть. Если у Вас есть то, про что там написано, пришлите это нам
