Index|mcolors1|Главная|index.php|index|Это то, что Вы сейчас просматриваете.
Search|mcolors1|Поиск|search.php|search|Поиск документов по сайту.
About|mcolors1|О проекте|about.php|about|Здесь собрана вся информация о сайте и его разработчиках, в том числе их локальные координаты.
Forum|mcolors1|Форум|forum.php|forum|В особых комментариях не нуждается. Мы будем вывешивать сюда сообщения об обновлениях, а вы, уважаемые пользователи, пишите сюда свои комментарии, замечания, предложения, задавайте вопросы...
CPL|mcolors1|Control Panel|cpl.php|cpl|Уголок администратора сайта. Простым смертным без пароля здесь делать нечего.
Algebra|mcolors2|Алгебра|algebra.php|algebra|Алгебра и линейная алгебра для студентов младших курсов, а также спецкурсы.
Calculus|mcolors2|Математический анализ|calculus.php|calculus|Математический анализ, в том числе спецкурсы.
RCalculus|mcolors2|Действительный анализ|rcalculus.php|rcalculus|Действительный анализ (теория меры).
CCalculus|mcolors2|Комплексный анализ|ccalculus.php|ccalculus|Комплексный анализ.
FCalculus|mcolors2|Функциональный анализ|fcalculus.php|fcalculus|Функциональный анализ, в том числе спецкурсы.
Geometry|mcolors2|Геометрия/Топология|geometry.php|geometry|Аналитическая геометрия, дифференциальная геометрия и топология, спецкурсы.
Logic|mcolors2|Логика/Дискра|logic.php|logic|Математическая логика и дискретная математика.
Mechanics|mcolors2|Механика|mechanics.php|mechanics|Классическая механика, аналитическая механика.
DE|mcolors2|ОДУ/УрЧП|de.php|de|Обыкновенные дифференциальные уравнения (ОДУ) и уравнения в частных производных (УрЧП).
VarCalculus|mcolors2|Оптимальное управление|varcalculus.php|varcalculus|Вариационное исчисление и оптимальное управление.
PTMS|mcolors2|ТеорВер/МатСтат|ptms.php|ptms|Теория вероятностей, математическая статистика и случайные процессы.
NT|mcolors2|Теория чисел|nt.php|nt|Теория чисел.
Physics|mcolors2|Физика|physics.php|physics|Теоретическая физика для математиков.
Prog|mcolors2|ЧМ/Программирование|prog.php|prog|Вычислительная математика, численные методы и программирование.
Metacourse|mcolors2|Курсы ЕНС|metacourse.php|metacourse|Курсы естественно-научного содержания (ЕНС).
Misc|mcolors2|Нематематика|misc.php|misc|Нематематические дисциплины МехМата: защита населения, экономика, история, английский язык, история математики, философия.
TeX|mcolors3|TeX/MetaPost|tex.php|tex|Страничка, посвящённая издательской деятельности, и в частности, нашим разработкам в области TeX'а и MetaPost'а.
Books|mcolors3|Книги|books.php|books|Небольшая коллекция электронных книг.
Links|mcolors3|Ссылки|links.php|links|Ссылки на другие полезные сайты. Если Вы думаете, что ссылка на Ваш (или не Ваш!) сайт должна быть тут, напишите об этом нам.
Wanted|mcolors3|Wanted|wanted.php|wanted|Материалы, которые хочется добыть. Если у Вас есть то, про что там написано, пришлите это нам.
